method,dimension,metric,trial,time_ms,status,note
haar_qr,1024,end_to_end_ms,1,5.683840,ok,
haar_qr,1024,setup_ms,2,7.905184,ok,
haar_qr,1024,apply_ms,2,0.041760,ok,
haar_qr,1024,end_to_end_ms,2,7.946944,ok,
haar_qr,1024,setup_ms,3,7.031776,ok,
haar_qr,1024,apply_ms,3,0.038912,ok,
haar_qr,1024,end_to_end_ms,3,7.070688,ok,
haar_qr,1024,setup_ms,4,7.272448,ok,
haar_qr,1024,apply_ms,4,0.040960,ok,
haar_qr,1024,end_to_end_ms,4,7.313408,ok,
haar_qr,1024,setup_ms,5,6.895616,ok,
haar_qr,1024,apply_ms,5,0.037792,ok,
haar_qr,1024,end_to_end_ms,5,6.933408,ok,
haar_qr,1024,setup_ms,6,6.986656,ok,
haar_qr,1024,apply_ms,6,0.037792,ok,
haar_qr,1024,end_to_end_ms,6,7.024448,ok,
haar_qr,1024,setup_ms,7,8.050496,ok,
haar_qr,1024,apply_ms,7,0.037888,ok,
haar_qr,1024,end_to_end_ms,7,8.088384,ok,
reflector_chain,1024,setup_ms,0,0.032768,ok,
reflector_chain,1024,apply_ms,0,1.268736,ok,
reflector_chain,1024,end_to_end_ms,0,1.301504,ok,
reflector_chain,1024,setup_ms,1,0.032768,ok,
reflector_chain,1024,apply_ms,1,1.270784,ok,
reflector_chain,1024,end_to_end_ms,1,1.303552,ok,
reflector_chain,1024,setup_ms,2,0.034432,ok,
reflector_chain,1024,apply_ms,2,1.268544,ok,
reflector_chain,1024,end_to_end_ms,2,1.302976,ok,
reflector_chain,1024,setup_ms,3,0.065536,ok,
reflector_chain,1024,apply_ms,3,1.262592,ok,
reflector_chain,1024,end_to_end_ms,3,1.328128,ok,
reflector_chain,1024,setup_ms,4,0.055296,ok,
reflector_chain,1024,apply_ms,4,1.262720,ok,
reflector_chain,1024,end_to_end_ms,4,1.318016,ok,
reflector_chain,1024,setup_ms,5,0.069600,ok,
reflector_chain,1024,apply_ms,5,1.262336,ok,
reflector_chain,1024,end_to_end_ms,5,1.331936,ok,
reflector_chain,1024,setup_ms,6,0.064576,ok,
reflector_chain,1024,apply_ms,6,1.263616,ok,
reflector_chain,1024,end_to_end_ms,6,1.328192,ok,
reflector_chain,1024,setup_ms,7,0.052096,ok,
reflector_chain,1024,apply_ms,7,1.260544,ok,
reflector_chain,1024,end_to_end_ms,7,1.312640,ok,
reflector_chain,1024,setup_ms,8,0.061024,ok,
reflector_chain,1024,apply_ms,8,1.262592,ok,
reflector_chain,1024,end_to_end_ms,8,1.323616,ok,
reflector_chain,1024,setup_ms,9,0.067424,ok,
reflector_chain,1024,apply_ms,9,1.263616,ok,
reflector_chain,1024,end_to_end_ms,9,1.331040,ok,
reflector_chain,1024,setup_ms,10,0.072704,ok,
reflector_chain,1024,apply_ms,10,1.262592,ok,
reflector_chain,1024,end_to_end_ms,10,1.335296,ok,
reflector_chain,1024,setup_ms,11,0.052064,ok,
reflector_chain,1024,apply_ms,11,1.262592,ok,
reflector_chain,1024,end_to_end_ms,11,1.314656,ok,
reflector_chain,1024,setup_ms,12,0.052224,ok,
reflector_chain,1024,apply_ms,12,1.261536,ok,
reflector_chain,1024,end_to_end_ms,12,1.313760,ok,
reflector_chain,1024,setup_ms,13,0.053248,ok,
reflector_chain,1024,apply_ms,13,1.261568,ok,
reflector_chain,1024,end_to_end_ms,13,1.314816,ok,
rht,1024,setup_ms,0,0.004000,ok,
rht,1024,apply_ms,0,0.092832,ok,
rht,1024,end_to_end_ms,0,0.096832,ok,
rht,1024,setup_ms,1,0.004096,ok,
rht,1024,apply_ms,1,0.092160,ok,
rht,1024,end_to_end_ms,1,0.096256,ok,
rht,1024,setup_ms,2,0.003712,ok,
rht,1024,apply_ms,2,0.089440,ok,
rht,1024,end_to_end_ms,2,0.093152,ok,
rht,1024,setup_ms,3,0.003776,ok,
rht,1024,apply_ms,3,0.078848,ok,
rht,1024,end_to_end_ms,3,0.082624,ok,
rht,1024,setup_ms,4,0.004096,ok,
